world_x,world_y,world_heading,world_vx,world_vy,slip_angle,yaw_rate,steer,throttle,hand_brake,brake,world_z,world_vz,pitch
-69.84239959716797,208.5946044921875,-0.02868652530014515,31.57779312133789,-8.023979717108887e-06,0.02867196632919609,0.00017247414507437497,0.0,0.0,False,0.0,5.810122013092041,-3.6405529975891113,-6.631320953369141
-69.68521118164062,208.5946044921875,-0.02874756045639515,31.438268661499023,-0.00041941209929063916,0.02798318811059613,-0.01435027364641428,-0.9999986886978149,0.0,False,0.00011926616571145132,5.791987895965576,-3.627507448196411,-6.631805896759033
-69.52867126464844,208.59458923339844,-0.029113760218024254,31.308542251586914,-0.0019726790487766266,0.02550368528157513,-0.0692286491394043,-0.9999986886978149,0.0,False,0.00011926616571145132,5.7739176750183105,-3.6154048442840576,-6.6325297355651855
-69.3727035522461,208.5945587158203,-0.030090326443314552,31.193988800048828,-0.005546154920011759,0.019903387282346884,-0.19646276533603668,-0.9999986886978149,0.0,False,0.00011926616571145132,5.7559027671813965,-3.6048762798309326,-6.633574962615967
-69.21721649169922,208.5945281982422,-0.032257080078125,31.09882164001465,-0.01192466076463461,0.010287350537807004,-0.4239349961280823,-0.9999986886978149,0.0,False,0.00011926616571145132,5.737930774688721,-3.596426010131836,-6.634736061096191
-69.21721649169922,208.5945281982422,-0.032257080078125,31.09882164001465,-0.01192466076463461,0.010287350537807004,-0.7668306231498718,-0.9999986886978149,0.0,False,0.00011926616571145132,5.737930774688721,-3.596426010131836,-6.634736061096191
-68.90725708007812,208.5943145751953,-0.0424499548971653,30.97085189819336,-0.03439004346728325,-0.021171270137121195,-1.2239090204238892,-0.9999986886978149,0.0,False,0.00011926616571145132,5.702070236206055,-3.5862581729888916,-6.637181282043457
-68.7525863647461,208.59413146972656,-0.0515441820025444,30.934520721435547,-0.05015083774924278,-0.04134327051607757,-1.782512903213501,-0.9999986886978149,0.0,False,0.00011926616571145132,5.684160232543945,-3.5841479301452637,-6.638362884521484
-68.59803009033203,208.59388732910156,-0.0639343187212944,30.91179656982422,-0.06847117096185684,-0.06297848265588124,-2.428589105606079,-0.9999986886978149,0.0,False,0.00011926616571145132,5.666252136230469,-3.5834622383117676,-6.639435291290283
-68.44354248046875,208.59356689453125,-0.080047607421875,30.89849090576172,-0.0890979915857315,-0.08516838152196107,-3.1522350311279297,-0.9999986886978149,0.0,False,0.00011926616571145132,5.648342132568359,-3.5837459564208984,-6.640411853790283
-68.28909301757812,208.59315490722656,-0.100189208984375,30.89101791381836,-0.11189170926809311,-0.10734343641855265,-3.9468681812286377,-0.9999986886978149,0.0,False,0.00011926616571145132,5.630426406860352,-3.584559202194214,-6.641238689422607
-68.1346664428711,208.59266662597656,-0.1246948316693306,30.886798858642578,-0.13675180077552795,-0.12898149987630014,-4.80841588973999,-0.9999986886978149,0.0,False,0.00011926616571145132,5.6125054359436035,-3.5856220722198486,-6.641935348510742
-67.9802474975586,208.5920867919922,-0.1539306640625,30.88418960571289,-0.1636141687631607,-0.1496004876828343,-5.7331695556640625,-0.9999986886978149,0.0,False,0.00011926616571145132,5.594576358795166,-3.586745023727417,-6.64252233505249
-67.9802474975586,208.5920867919922,-0.1539306640625,30.88418960571289,-0.1636141687631607,-0.1496004876828343,-6.717442989349365,-0.9999986886978149,0.0,False,0.00011926616571145132,5.594576358795166,-3.586745023727417,-6.64252233505249
-67.67144012451172,208.59060668945312,-0.2277221530675888,30.880327224731445,-0.22313544154167175,-0.18627917752944084,-7.759359359741211,-0.9999986886978149,0.0,False,0.00011926616571145132,5.558699607849121,-3.5888259410858154,-6.643335342407227
-67.51705169677734,208.5896759033203,-0.2728271186351776,30.878204345703125,-0.2557281255722046,-0.2016760991392887,-8.855879783630371,-0.9999986886978149,0.0,False,0.00011926616571145132,5.5407538414001465,-3.5896806716918945,-6.643615245819092
-67.3626708984375,208.58865356445312,-0.3237914443016052,30.875667572021484,-0.2901788055896759,-0.2146756620987107,-10.004589080810547,-0.9999986886978149,0.0,False,0.00011926616571145132,5.522803783416748,-3.590378761291504,-6.643765449523926
-67.20830535888672,208.58746337890625,-0.3808594048023224,30.872604370117188,-0.32644614577293396,-0.22496215539494013,-11.202528953552246,-0.9999986886978149,0.0,False,0.00011926616571145132,5.504849910736084,-3.5909478664398193,-6.643826961517334
-67.20830535888672,208.58746337890625,-0.3808594048023224,30.872604370117188,-0.32644614577293396,-0.22496215539494013,-12.447943687438965,-0.9999986886978149,0.0,False,0.00011926616571145132,5.504849910736084,-3.5909478664398193,-6.643826961517334
-67.053955078125,208.58616638183594,-0.444244384765625,30.868940353393555,-0.3645200729370117,-0.23230916018775571,-13.737960815429688,-0.9999986886978149,0.0,False,0.00011926616571145132,5.486893177032471,-3.591350555419922,-6.643826961517334
-66.74532318115234,208.5830841064453,-0.590850830078125,30.859601974487305,-0.4460141658782959,-0.23718804677507233,-15.070403099060059,-0.9999986886978149,0.0,False,0.00011926616571145132,5.45097541809082,-3.5916805267333984,-6.643581390380859
-66.74532318115234,208.5830841064453,-0.590850830078125,30.859601974487305,-0.4460141658782959,-0.23718804677507233,-16.443492889404297,-0.9999986886978149,0.0,False,0.00011926616571145132,5.45097541809082,-3.5916805267333984,-6.643581390380859
-66.59105682373047,208.581298828125,-0.6745299696922302,30.853839874267578,-0.4894113838672638,-0.23423391139269756,-17.854007720947266,-0.9999986886978149,0.0,False,0.00011926616571145132,5.433015823364258,-3.5915920734405518,-6.643369674682617
