world_x,world_y,world_heading,world_vx,world_vy,slip_angle,yaw_rate,steer,throttle,hand_brake,brake,world_z,world_vz,pitch
-229.32736206054688,37.39488220214844,271.60950469970703,0.5791187882423401,-33.17303466796875,-0.6093642982046248,0.0034819957800209522,-0.0,0.0,False,0.0,10.005153511047363,-0.0017611312214285135,-0.00045762263471260667
-229.32447814941406,37.22895812988281,271.60948944091797,0.5792895555496216,-33.18485641479492,-0.6094105054054921,-0.003200759179890156,-0.7235285043716431,0.0,False,0.00011926616571145132,10.005135925348847,-0.00495491037145257,-0.0013455471489578485
-229.3215789794922,37.06372833251953,271.6092758178711,0.5764188766479492,-33.049522399902344,-0.6100776962451562,-0.043676767498254776,-0.9999986886978149,0.0,False,0.00011926616571145132,10.005097396533936,-0.009670433588325977,-0.0025339999701827765
-229.31871032714844,36.89909362792969,271.60852813720703,0.5724951028823853,-32.92689514160156,-0.6124351769389165,-0.14944949746131897,-0.9999986886978149,0.0,False,0.00011926616571145132,10.005039298769086,-0.014025558717548847,-0.003968339879065752
-229.31585693359375,36.735008239746094,271.60677337646484,0.5668625831604004,-32.82125473022461,-0.6173046616091256,-0.3517473638057709,-0.9999986886978149,0.0,False,0.00011926616571145132,10.004962508894502,-0.018039733171463013,-0.005580264143645763
-229.31304931640625,36.57134246826172,271.6034164428711,0.5590333342552185,-32.734947204589844,-0.6250388942213192,-0.6726344227790833,-0.9999986886978149,0.0,False,0.00011926616571145132,10.004868095137178,-0.02172711491584778,-0.007294641807675362
-229.3102569580078,36.40801239013672,271.59781646728516,0.5488102436065674,-32.66811752319336,-0.635362691261335,-1.1192512512207031,-0.9999986886978149,0.0,False,0.00011926616571145132,10.004756934802979,-0.02510567381978035,-0.00900218915194273
-229.30752563476562,36.24492645263672,271.58937072753906,0.5362629294395447,-32.61908721923828,-0.6475039411048442,-1.6845091581344604,-0.9999986886978149,0.0,False,0.00011926616571145132,10.00462990566343,-0.028190290555357933,-0.010716565884649754
-229.3048095703125,36.08201599121094,271.57762908935547,0.5215673446655273,-32.58482360839844,-0.6606053789209625,-2.3538625240325928,-0.9999986886978149,0.0,False,0.00011926616571145132,10.004488418206572,-0.03099384903907776,-0.012294339947402477
-229.3021697998047,35.919227600097656,271.56204986572266,0.5048360228538513,-32.56161117553711,-0.6738058527777753,-3.11329984664917,-0.9999986886978149,0.0,False,0.00011926616571145132,10.004333083845674,-0.03353571891784668,-0.013790151104331017
-229.29957580566406,35.756507873535156,271.5422897338867,0.486093133687973,-32.54586410522461,-0.6866045305583555,-3.952521800994873,-0.9999986886978149,0.0,False,0.00011926616571145132,10.004165351718664,-0.03582363948225975,-0.015163019299507141
-229.2970428466797,35.593841552734375,271.5179672241211,0.46533331274986267,-32.534690856933594,-0.6985398258316877,-4.864078998565674,-0.9999986886978149,0.0,False,0.00011926616571145132,10.003986175499856,-0.037878409028053284,-0.016358302906155586
-229.2946014404297,35.43122863769531,271.48875427246094,0.44254767894744873,-32.52607727050781,-0.7092397448924288,-5.842667579650879,-0.9999986886978149,0.0,False,0.00011926616571145132,10.003796661134809,-0.03970618173480034,-0.017451131716370583
-229.29225158691406,35.268646240234375,271.45433044433594,0.4177389144897461,-32.518733978271484,-0.718343603645252,-6.884092330932617,-0.9999986886978149,0.0,False,0.00011926616571145132,10.003598030053078,-0.0413208045065403,-0.0184346791356802
-229.28997802734375,35.106101989746094,271.41442108154297,0.39091771841049194,-32.51188278198242,-0.7255389190270307,-7.98488187789917,-0.9999986886978149,0.0,False,0.00011926616571145132,10.003391349550336,-0.04273634031414986,-0.019261132925748825
-229.2877960205078,34.94358825683594,271.3687057495117,0.36209768056869507,-32.50506591796875,-0.7304725950848763,-9.142043113708496,-0.9999986886978149,0.0,False,0.00011926616571145132,10.00317757423222,-0.043963465839624405,-0.019991962239146233
-229.28570556640625,34.78111267089844,271.31693267822266,0.33129382133483887,-32.498016357421875,-0.7328637915203444,-10.352807998657227,-0.9999986886978149,0.0,False,0.00011926616571145132,10.002957809112965,-0.0450124554336071,-0.02063400112092495
-229.28570556640625,34.78111267089844,271.31693267822266,0.33129382133483887,-32.498016357421875,-0.7328637915203444,-11.61446762084961,-0.9999986886978149,0.0,False,0.00011926616571145132,10.002957809112965,-0.0450124554336071,-0.02063400112092495
-229.28189086914062,34.456275939941406,271.1942367553711,0.26379796862602234,-32.482608795166016,-0.7289361365869809,-12.924483299255371,-0.9999986886978149,0.0,False,0.00011926616571145132,10.002503288306295,-0.046622246503829956,-0.021576566621661186
-229.28189086914062,34.456275939941406,271.1942367553711,0.26379796862602234,-32.482608795166016,-0.7289361365869809,-14.28027057647705,-0.9999986886978149,0.0,False,0.00011926616571145132,10.002503288306295,-0.046622246503829956,-0.021576566621661186
-229.2786102294922,34.13160705566406,271.04441833496094,0.18854355812072754,-32.46489334106445,-0.7116703240374989,-15.679340362548828,-0.9999986886978149,0.0,False,0.00011926616571145132,10.00203461465612,-0.04764391481876373,-0.022280076518654823
-229.27716064453125,33.96934509277344,270.9588317871094,0.14804090559482574,-32.45503234863281,-0.6974837111711167,-17.119247436523438,-0.9999986886978149,0.0,False,0.00011926616571145132,10.00179684451036,-0.04795851930975914,-0.022525962442159653
-229.27589416503906,33.80712127685547,270.8658676147461,0.1056385189294815,-32.4444465637207,-0.6793142738510625,-18.597644805908203,-0.9999986886978149,0.0,False,0.00011926616571145132,10.001557624761015,-0.04815324768424034,-0.022703547030687332
